eta_overall,stage
30.52696802047613,sdlg
33.196208128551135,shts_1
37.54713935586764,shts_2
39.28084215850932,shts_3
39.95105887673896,shts_4
40.429547906353534,shts_5
40.61447743173249,shts_6
41.299095588314145,shts_7
