plot,sdlg,shts_1,shts_2,shts_3,shts_4,shts_5,shts_6,shts_7
CF-1,26.17532313985566,29.096358617637524,34.09957800232423,36.456910013385766,37.444926781869036,38.12146586340085,38.63545855260917,39.40254368111024
CF-2,32.35091575347851,34.98794027998047,39.954935398535945,42.17665861378196,42.55067294282246,42.88595891794071,43.1229618648435,43.779313804414755
CF-3,30.378991883073994,33.039951149551094,39.224596792367066,41.25039718844661,42.173451590373716,42.57265790137787,42.49752635370971,43.77156829775997
CF-4,38.06534567209526,38.75772315091598,39.6770829287612,40.85489424322657,41.63353875576919,42.88902839516966,42.754690394932084,43.477095148537444
CF-5,16.899841570965688,17.879681009861887,20.997719870934326,21.92470083857507,22.39317842323107,22.251335704170017,22.872242849116198,23.426717171719865
CF-6,33.32405602470921,34.87417243126021,36.57040543856155,37.344327761671195,37.764094670131016,38.126455430948255,36.52903023547822,35.3237181239488
FF-1,37.69912275418199,42.53138815459326,46.09257585624052,47.966411581263536,48.24263491671899,48.37071393055149,48.30297717878276,47.169971986839606
FF-2,40.89048341907044,41.170239545115514,44.421484275662515,46.09684754546712,46.36721854548392,46.649123524277634,47.45698373910385,47.66803343731919
FF-3,22.72300714101402,24.453074165779313,26.598261644606723,27.5100500892853,27.922606421336287,28.783449708031725,29.408309347304687,29.532621517696498
FF-4,28.88633950772441,29.33052376656765,32.55941623334568,33.421868804739255,33.6124059391568,34.64918868744408,35.174638328360686,35.60919075080922
FF-5,89.77234310158354,97.76379092833572,105.4563156079521,106.41877243327197,107.55556022519698,108.87841492722755,109.63867425133334,109.80515680197455
FF-6,27.75911542376482,30.6175698996628,36.53684370652459,38.372748187753366,39.09212524799125,40.4205117324274,40.75800261767521,42.65551990461017
FF-7,47.11453572943772,52.22107886135908,56.11978034405604,57.50304996544183,58.181861426279546,58.31166648258437,58.11364334543589,58.759992184737634
