plot,sdlg,shts_1,shts_2,shts_3,shts_4,shts_5,shts_6,shts_7
CF-1,1073.609442565345,1119.593246126211,1167.9120047640704,1179.1921738681815,1182.4800586453716,1185.3701893086306,1186.3668165870067,1187.816496167553
CF-2,1483.477394454397,1522.3475818633153,1564.7306737001106,1572.0510101260388,1574.965390578195,1576.0139637317009,1578.0765316828965,1577.263384272029
CF-3,1391.8410083503018,1438.571858116715,1498.8046860107459,1507.2198103318763,1510.5524273377287,1512.46495136492,1515.0301440776466,1513.6700675557668
CF-4,1564.0724218688306,1567.924469543578,1572.7647843567918,1576.9744031745115,1578.7487378518829,1579.761411380153,1579.8400396839845,1580.6193026604394
CF-5,373.26692670094786,379.75220953447905,393.91156958288036,397.04433511877585,398.1298137924569,400.13624342764984,398.2818592548365,399.21499288852226
CF-6,1271.645032139061,1280.6553397619296,1287.4431632707042,1289.847148911586,1290.5974888512924,1290.0682288618875,1290.7058108745441,1286.2607380228728
FF-1,1972.6405431845853,2034.8632167095616,2055.4679206008473,2058.7847975341474,2060.240233655488,2059.743328047415,2059.001117669453,2057.309039036751
FF-2,1920.0747088410235,1924.6413151543427,1944.7530371923162,1949.641232072384,1951.5981161353102,1953.1388821225619,1952.3754268998796,1952.9713934414126
FF-3,659.0248757207074,673.3816316018145,685.126893975034,688.6285136289648,690.8726173656908,691.0852638508023,691.2203532821122,691.4240111669336
FF-4,966.1676911633919,970.6511480515004,985.3067265039897,988.3645163193012,992.0203857675006,991.1518660975264,992.6554460362058,992.9348397608676
FF-5,10803.015455605477,11007.335944866105,11093.55039763492,11101.62212144201,11106.754200086416,11107.680577113983,11108.67473050953,11110.042089921819
FF-6,1224.5328497459518,1276.554352804485,1337.073612398756,1349.2262279835481,1353.858984792746,1357.4994046389374,1365.3986616570612,1364.527767544524
FF-7,2991.980128203219,3065.1293371778656,3090.1778495551366,3094.1927454000743,3096.0686521336247,3096.9013851951104,3099.20128994636,3098.8837351935094
