eta_var_overall,stage
1307.7450032118484,sdlg
1343.4473157075797,shts_1
1376.48790121917,shts_2
1383.1225003982345,shts_3
1385.8246894313445,shts_4
1387.1674681480922,shts_5
1388.7989656275038,shts_6
1389.134139665937,shts_7
